id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
1035,tt6443346,2022-12-18,2022-12-18,,Black Adam,https://www.imdb.com/title/tt6443346/,movie,6.3,125,2022,"Action, Adventure, Fantasy, Sci-Fi",232981,2022-10-19,Jaume Collet-Serra
1036,tt0080603,2022-12-19,2022-12-19,,Death Ship,https://www.imdb.com/title/tt0080603/,movie,4.8,91,1980,"Adventure, Horror, Mystery, Thriller",5181,1980-03-07,Alvin Rakoff
1037,tt0070633,2022-12-19,2022-12-19,,Satan's School for Girls,https://www.imdb.com/title/tt0070633/,tvMovie,5.2,78,1973,"Crime, Horror, Mystery",1506,1973-09-19,David Lowell Rich
1038,tt0070770,2022-12-19,2022-12-19,,Tales That Witness Madness,https://www.imdb.com/title/tt0070770/,movie,5.6,90,1973,Horror,1918,1973-10-31,Freddie Francis
1039,tt0077400,2022-12-21,2022-12-21,,The Darker Side of Terror,https://www.imdb.com/title/tt0077400/,tvMovie,5.1,96,1979,"Drama, Horror, Sci-Fi, Romance",160,1979-04-03,Gus Trikonis
1040,tt0096046,2022-12-21,2022-12-21,,Scarecrows,https://www.imdb.com/title/tt0096046/,movie,5.4,83,1988,"Action, Crime, Horror, Thriller",5299,1988-08-26,William Wesley
1041,tt0092610,2022-12-21,2022-12-21,,Bad Taste,https://www.imdb.com/title/tt0092610/,movie,6.5,91,1987,"Comedy, Horror, Sci-Fi",47823,1987-12-25,Peter Jackson
1042,tt0092172,2022-12-21,2022-12-21,,The Vindicator,https://www.imdb.com/title/tt0092172/,movie,4.9,93,1986,"Action, Sci-Fi, Thriller",995,1986-02-14,Jean-Claude Lord
1043,tt0076704,2022-12-21,2022-12-21,,Shock Waves,https://www.imdb.com/title/tt0076704/,movie,5.5,85,1977,"Horror, Mystery, Sci-Fi",5819,1977-06-22,Ken Wiederhorn
1044,tt3439314,2022-12-22,2022-12-22,,Surviving Edged Weapons,https://www.imdb.com/title/tt3439314/,movie,8.5,84,1988,"Documentary, Action, Crime, Drama, Thriller",517,1988-12-31,Dennis Anderson
1045,tt0082094,2022-12-22,2022-12-22,,The Boogens,https://www.imdb.com/title/tt0082094/,movie,5.5,95,1981,"Horror, Sci-Fi, Thriller",2868,1981-09-25,James L. Conway
1046,tt0095296,2022-12-22,2022-12-22,,Hero and the Terror,https://www.imdb.com/title/tt0095296/,movie,5.2,96,1988,"Action, Crime, Drama, Thriller",4138,1988-08-26,William Tannen
1047,tt0093983,2023-01-02,2023-01-02,,Skeleton Coast,https://www.imdb.com/title/tt0093983/,movie,4.4,98,1988,"Action, History, War",509,1988-04-14,John 'Bud' Cardos
1048,tt0097664,2023-01-04,2023-01-04,,Kill Slade,https://www.imdb.com/title/tt0097664/,movie,5.5,84,1989,"Action, Adventure",71,1989-08-04,Bruce McFarlane
