,id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
920,921,tt11755740,2022-02-19,2022-02-19,"After 48 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town.",Texas Chainsaw Massacre,https://www.imdb.com/title/tt11755740/,movie,4.7,83.0,2022,"Crime, Horror, Thriller",55374,2022-02-18,David Blue Garcia
921,922,tt0085900,2022-02-23,2022-02-23,The story is about Commissioner Jordan who arrives in Marseille to combat drug trafficking activities in his own unique way.,Le marginal,https://www.imdb.com/title/tt0085900/,movie,6.3,103.0,1983,"Action, Crime, Drama, Thriller",3213,1983-10-26,Jacques Deray
922,923,tt10954652,2022-02-26,2022-02-26,"A vacationing family discovers that the secluded beach where they&apos;re relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",Old,https://www.imdb.com/title/tt10954652/,movie,5.8,108.0,2021,"Drama, Horror, Mystery, Thriller",129242,2021-07-21,M. Night Shyamalan
923,924,tt8076930,2022-02-28,2022-02-28,"Events take a sinister turn one night in London, when two very different couples arrive at a double-booked apartment. Actions have consequences and not all debts are paid for with money. Leaving, it&apos;s harder than you think.",Exit,https://www.imdb.com/title/tt8076930/,movie,5.5,80.0,2020,"Crime, Horror, Thriller",88,2020-01-11,Michael Fausti
924,925,tt0085937,2022-03-01,2022-03-01,"Fed up of his wife&apos;s bad cooking, Donald kills her and turns to cannibalism to satisfy his appetite.",Microwave Massacre,https://www.imdb.com/title/tt0085937/,movie,4.2,76.0,1979,"Comedy, Horror",2911,1979-10-31,Wayne Berwick
925,926,tt8006374,2022-03-08,2022-03-08,"When Egor&apos;s mom dies, he gets a stepmom and then a baby half sister. Things get seriously twisted when his dad gets a hot nanny, who&apos;s the witch, Baba Yaga.",Yaga. Koshmar tyomnogo lesa,https://www.imdb.com/title/tt8006374/,movie,4.7,97.0,2020,"Adventure, Fantasy, Horror, Mystery",1888,2020-02-27,"Svyatoslav Podgaevskiy, Nathalia Hencker"
926,927,tt7453418,2022-03-17,2022-03-17,A man discovers that he is part of a secret sect of magical beings who hunt down and destroy demons in the Internet.,Nekrotronic,https://www.imdb.com/title/tt7453418/,movie,5.6,99.0,2018,"Action, Comedy, Horror, Sci-Fi",3339,2018-09-08,Kiah Roache-Turner
927,928,tt4682266,2022-03-22,2022-03-22,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",The New Mutants,https://www.imdb.com/title/tt4682266/,movie,5.3,94.0,2020,"Action, Horror, Mystery, Sci-Fi",82728,2020-08-26,Josh Boone
928,929,tt9376612,2022-03-22,2022-03-22,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612/,movie,7.4,132.0,2021,"Action, Adventure, Fantasy, Sci-Fi",393983,2021-08-16,Destin Daniel Cretton
929,930,tt1029360,2022-03-29,2022-03-29,A family whose suburban home is haunted by evil forces must come together to rescue their youngest daughter after the apparitions take her captive.,Poltergeist,https://www.imdb.com/title/tt1029360/,movie,4.9,93.0,2015,"Horror, Thriller",59230,2015-05-18,Gil Kenan
