,id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
0,1,tt0090009,2016-11-25,2016-11-25,"In a post-apocalyptic world, She aids two brothers&apos; quest to rescue their kidnapped sister. Along the way, they battle weird creatures before standing against the odds to defeat the evil Norks.",She,https://www.imdb.com/title/tt0090009/,movie,4.8,106.0,1984,"Action, Adventure, Fantasy, Sci-Fi",1828,1984-05-15,Avi Nesher
1,2,tt0058379,2016-11-25,2016-11-25,"Mothra&apos;s egg washes ashore and is claimed by greedy entrepreneurs who refuse to return it to her fairies. As Godzilla arises near Nagoya, the people of Infant Island must decide if they are willing to answer Japan&apos;s own pleas for ...",Mosura tai Gojira,https://www.imdb.com/title/tt0058379/,movie,6.5,89.0,1964,"Adventure, Fantasy, Sci-Fi",9278,1964-04-29,Ishirô Honda
2,3,tt0058548,2016-11-25,2016-11-25,The Martians kidnap Santa Claus because there is nobody on Mars to give their children presents.,Santa Claus Conquers the Martians,https://www.imdb.com/title/tt0058548/,movie,2.7,81.0,1964,"Adventure, Comedy, Family, Fantasy, Sci-Fi",12124,1964-11-14,Nicholas Webster
3,4,tt0056142,2016-11-25,2016-11-25,A UN reporter broadcasts a report on the appearance of a prehistoric monster that emerges from hibernation while a pharmaceutical company seeks publicity with a monster of their own. (US Version),King Kong vs. Godzilla,https://www.imdb.com/title/tt0056142/,movie,5.7,97.0,1963,"Action, Adventure, Fantasy, Sci-Fi",10625,1963-06-03,"Tom Montgomery, Ishirô Honda"
4,5,tt0235608,2016-11-25,2016-11-25,Batwoman is called to investigate a whacked-out scientist who is capturing wrestlers and using their spinal fluid to create a Gill Man.,La mujer murcielago,https://www.imdb.com/title/tt0235608/,movie,4.7,80.0,1968,"Adventure, Horror, Sci-Fi",624,1968-03-28,René Cardona
5,6,tt3522806,2016-11-25,2016-11-25,Bishop&apos;s most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,Mechanic: Resurrection,https://www.imdb.com/title/tt3522806/,movie,5.7,98.0,2016,"Action, Adventure, Crime, Thriller",87498,2016-08-22,Dennis Gansel
6,7,tt2334879,2016-11-25,2016-11-25,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",White House Down,https://www.imdb.com/title/tt2334879/,movie,6.3,131.0,2013,"Action, Drama, Thriller",226826,2013-06-21,Roland Emmerich
7,8,tt0092675,2016-11-25,2016-11-25,"&quot;Bloodsport&quot; follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.",Bloodsport,https://www.imdb.com/title/tt0092675/,movie,6.8,92.0,1988,"Action, Biography, Drama, Sport",87749,1988-02-26,Newt Arnold
8,9,tt0087998,2016-11-25,2016-11-25,"Alien creatures invade a small town and four teenagers, along with a young boy, attempt to escape from them.",The Deadly Spawn,https://www.imdb.com/title/tt0087998/,movie,5.9,81.0,1983,"Horror, Sci-Fi",5007,1983-04-22,Douglas McKeown
9,10,tt0122037,2016-11-25,2016-11-25,"A renegade doctor is shot dead and entombed with his fiendish experiments in the basement of an abandoned wing of a mental hospital. Twenty years later, a mysterious woman is admitted with amnesia, and her arrival is marked by an ...",The Dead Pit,https://www.imdb.com/title/tt0122037/,movie,5.3,95.0,1989,Horror,2707,1989-05-31,Brett Leonard
10,11,tt0069792,2016-11-25,2016-11-25,"Raised in Harlem, Tommy Gibbs becomes a successful mob boss but he clashes with the rival Mafia and his old enemy, dirty cop McKinney.",Black Caesar,https://www.imdb.com/title/tt0069792/,movie,6.4,87.0,1973,"Action, Crime, Drama, Thriller",3667,1973-02-07,Larry Cohen
11,12,tt0098157,2016-11-25,2016-11-25,Two sweet little old ladies fall victim to an ancient curse that transforms them into bloodthirsty killers!,Les mémés cannibales,https://www.imdb.com/title/tt0098157/,movie,4.8,89.0,1988,"Comedy, Horror",1841,1988-12-12,Emmanuel Kervyn
12,13,tt0099026,2016-11-25,2016-11-25,"A comic-book artist meets a woman on the NYC streets, but after a quick flirtation, she suddenly collapses and is picked up by an old ambulance. He checks all the hospitals in the area, but the woman has disappeared.",The Ambulance,https://www.imdb.com/title/tt0099026/,movie,5.9,96.0,1990,"Action, Comedy, Horror, Romance, Thriller",3910,1990-08-30,Larry Cohen
13,14,tt0090057,2016-11-25,2016-11-25,A wicked sorcerer tries to sacrifice a group of people inside his house with the intention of using their vitality to keep his wife alive.,Spookies,https://www.imdb.com/title/tt0090057/,movie,4.9,85.0,1986,"Comedy, Horror",3782,1986-03-31,"Genie Joseph, Brendan Faulkner, Thomas Doran"
14,15,tt2600742,2016-11-25,2016-11-25,"When rednecks on a fishing trip kill a great white shark, its spirit comes back for revenge, and soon turns its sights on the town of Smallport.",Ghost Shark,https://www.imdb.com/title/tt2600742/,tvMovie,3.3,87.0,2013,"Fantasy, Horror",3179,2013-08-22,Griff Furst
15,16,tt0093780,2016-11-25,2016-11-25,A teacher is assigned to be the principal of a violent and crime-ridden high school.,The Principal,https://www.imdb.com/title/tt0093780/,movie,6.3,109.0,1987,"Action, Crime, Drama, Thriller",11011,1987-09-18,Christopher Cain
16,17,tt0117774,2016-11-25,2016-11-25,Shale&apos;s Mercenary team is retired after a (not so) covert mission in Cuba. He becomes a substitute teacher at his teacher fiancee&apos;s Miami high school to get those behind kneecapping her. His team helps him.,The Substitute,https://www.imdb.com/title/tt0117774/,movie,6.0,114.0,1996,"Action, Crime, Drama, Thriller",14523,1996-04-19,Robert Mandel
17,18,tt0097390,2016-11-25,2016-11-25,"Charley Brewster and Peter Vincent must face more vampires, out for revenge.",Fright Night Part 2,https://www.imdb.com/title/tt0097390/,movie,5.9,104.0,1988,"Comedy, Horror, Thriller",13313,1988-10-31,Tommy Lee Wallace
18,19,tt0088380,2016-11-25,2016-11-25,"A nomad mercenary on a high-tech motorcycle helps bring about the downfall of the evil Orwellian government, the Omega.",Warrior of the Lost World,https://www.imdb.com/title/tt0088380/,movie,2.6,92.0,1984,"Action, Sci-Fi, Thriller",2780,1984-04-27,David Worth
19,20,tt0076731,2016-11-25,2016-11-25,A Colorado ski resort is besieged by a sub-human beast that commits brutal murders on the slopes.,Snowbeast,https://www.imdb.com/title/tt0076731/,tvMovie,4.6,86.0,1977,Horror,2083,1977-04-28,Herb Wallerstein
20,21,tt2457138,2016-11-25,2016-11-25,"A werewolf virus is unleashed upon New York, and Major Hoffman looks for a cure while Lt. General Monning wants to establish a new canine army.",Battledogs,https://www.imdb.com/title/tt2457138/,tvMovie,3.5,88.0,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",1721,2013-04-06,Alexander Yellen
21,22,tt0071717,2016-11-25,2016-11-25,"A small construction crew on an island is terrorized when a spirit-like being takes over a large bulldozer, and goes on a killing rampage.",Killdozer,https://www.imdb.com/title/tt0071717/,tvMovie,5.0,74.0,1974,"Horror, Sci-Fi",1764,1974-02-02,Jerry London
22,23,tt0076644,2016-11-25,2016-11-25,"Sixteen years after Ruby Claire&apos;s gangster boyfriend was shot and killed by four associates, a series of gruesome murders takes place at the drive-in movie theatre she now owns. Meanwhile, the behaviour of her mute daughter Leslie...",Ruby,https://www.imdb.com/title/tt0076644/,movie,4.5,85.0,1977,"Drama, Horror",1038,1977-06-23,Curtis Harrington
23,24,tt0120847,2016-11-25,2016-11-25,A mercenary masquerades as a teacher in order to enter a tough urban school and wreak his revenge upon his brother&apos;s killer.,The Substitute 2: School's Out,https://www.imdb.com/title/tt0120847/,tvMovie,5.1,89.0,1998,"Action, Crime, Thriller",3080,1998-04-03,Steven Pearl
24,25,tt0060666,2016-11-25,2016-11-25,"A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.",Manos: The Hands of Fate,https://www.imdb.com/title/tt0060666/,movie,1.6,70.0,1966,Horror,36723,1966-11-15,Harold P. Warren
25,26,tt1869362,2016-11-25,2016-11-25,Friends go on a snowy adventure and come face to face with a deadly creature.,Deadly Descent,https://www.imdb.com/title/tt1869362/,tvMovie,2.9,85.0,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",828,2013-01-26,Marko Mäkilaakso
26,27,tt0125308,2016-11-25,2016-11-25,"When a group of college students come across a redneck in the wilderness murdering his wife&apos;s lover, they become the objects of his crazed vengeance.",Trapped,https://www.imdb.com/title/tt0125308/,movie,5.9,95.0,1982,Thriller,727,1982-05-28,William Fruet
27,28,tt0070169,2016-11-25,2016-11-25,"A gangster in Harlem must rescue his ex-wife, who has been kidnapped by the Mafia.",Hell Up in Harlem,https://www.imdb.com/title/tt0070169/,movie,5.9,94.0,1973,"Action, Crime, Drama, Thriller",1623,1973-12-21,Larry Cohen
28,29,tt0074390,2016-11-25,2016-11-25,Random people are terrorized by a malevolent man who brings their worst fears to life.,The Demon,https://www.imdb.com/title/tt0074390/,movie,3.6,94.0,1979,Horror,959,1979-12-31,Percival Rubens
29,30,tt0073367,2016-11-25,2016-11-25,"The titular medallion is a gift presented to young Nicole Elmi. Once the girl places the gift around her neck, she is possessed by the spirit of a dead child who was a murderess.",Perché?!,https://www.imdb.com/title/tt0073367/,movie,5.9,81.0,1975,"Horror, Thriller",771,1975-04-22,Massimo Dallamano
30,31,tt0081203,2016-11-25,2016-11-25,"A disgruntled phone company employee develops a device whereby those answering a phone can be murdered, and it&apos;s up to Nat Bridger to stop the killer.",Murder by Phone,https://www.imdb.com/title/tt0081203/,movie,5.4,95.0,1982,"Horror, Thriller, Mystery, Sci-Fi",849,1982-05-27,Michael Anderson
31,32,tt0080601,2016-11-25,2016-11-25,"An unknown, psychotic driver uses his van to kill unsuspecting female drivers on the freeway.",Death Car on the Freeway,https://www.imdb.com/title/tt0080601/,tvMovie,5.4,91.0,1979,"Mystery, Thriller",456,1979-09-25,Hal Needham
32,33,tt0098505,2016-11-25,2016-11-25,"Two rivaling groups of friends intend to hunt a bear on a forest, but soon they are stalked by a masked madman Vietnam veteran.",Trampa infernal,https://www.imdb.com/title/tt0098505/,movie,5.8,77.0,1989,"Horror, Thriller",225,1989-10-31,Pedro Galindo III
33,34,tt0098205,2016-11-25,2016-11-25,An adventurer (Hamilton) decides to go in search of the lost city in the Amazon jungle. A motley crew of other people with reasons of their own decide to join him for the wealth of the lost city. But to their horror they find out ...,River of Death,https://www.imdb.com/title/tt0098205/,movie,4.4,101.0,1989,"Action, Adventure, Drama",1381,1989-05-15,Steve Carver
34,35,tt0089338,2016-11-25,2016-11-25,A reporter and her cameraman connect a surviving Jonestown leader and a TV exec&apos;s missing son to a drug war where jungle installations are being massacred by an army of natives and a skilled white assassin.,Inferno in diretta,https://www.imdb.com/title/tt0089338/,movie,5.7,90.0,1984,"Adventure, Horror, Thriller",2479,1984-10-28,Ruggero Deodato
35,36,tt0380687,2016-11-25,2016-11-25,A naive young boy unknowingly becomes the pawn of a serial killer.,Satan's Little Helper,https://www.imdb.com/title/tt0380687/,movie,5.3,100.0,2004,"Comedy, Horror",6276,2004-05-06,Jeff Lieberman
36,37,tt0080904,2016-11-25,2016-11-25,"Humanoid sea creatures start killing a fishing town&apos;s residents, and raping their women. It&apos;s up to the townsfolk and a visiting biologist to fight back and fend them off.",Humanoids from the Deep,https://www.imdb.com/title/tt0080904/,movie,5.7,80.0,1980,"Horror, Sci-Fi",9673,1980-03-28,"Barbara Peeters, Jimmy T. Murakami"
37,38,tt0079027,2016-11-25,2016-11-25,"Someone, or something, is on an indiscriminate killing and mutilation spree during night-time. Frustrated by the clueless police, the father of the first victim is looking for answers, no matter how far fetched they are.",The Dark,https://www.imdb.com/title/tt0079027/,movie,4.2,92.0,1979,"Horror, Sci-Fi, Thriller",1711,1979-04-27,"John 'Bud' Cardos, Tobe Hooper"
38,39,tt1022883,2016-11-25,2016-11-25,"When John takes his friends to his deceased uncle&apos;s remote ranch to hunt wild pigs, it seems like a typical guys weekend. But as John and his crew trek deeper into the forest, they begin tracking the awful truth about his uncle&apos;s ...",Pig Hunt,https://www.imdb.com/title/tt1022883/,movie,4.7,99.0,2008,"Action, Horror, Thriller",2622,2008-07-31,James Isaac
39,40,tt0081229,2016-11-25,2016-11-25,"An anthropologist and his students attempt to track down a Bigfoot responsible for a rash of violent murders, only to uncover something even more sinister.",Night of the Demon,https://www.imdb.com/title/tt0081229/,movie,4.7,96.0,1980,Horror,2288,1980-02-29,James C. Wasson
40,41,tt0076023,2016-11-25,2016-11-25,A mean trashy exploitation picture about three convicts who escape from jail and hole up at the house of a black minister. There are a few nasty scenes where the minister&apos;s family is being repeatedly terrorized by the thugs. In th...,Fight for Your Life,https://www.imdb.com/title/tt0076023/,movie,6.3,82.0,1977,"Crime, Drama, Thriller",1659,1977-10-31,Robert A. Endelson
41,42,tt0046066,2016-11-25,2016-11-25,A mad scientist named Arana is creating giant spiders and dwarfs in his lab on Zarpa Mesa in Mexico. He wants to create a master race of superwomen by injecting his female subjects with spider venom.,Mesa of Lost Women,https://www.imdb.com/title/tt0046066/,movie,2.7,70.0,1953,"Horror, Sci-Fi",1778,1953-06-17,"Ron Ormond, Herbert Tevos"
42,43,tt1258972,2016-11-25,2016-11-25,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",The Man with the Iron Fists,https://www.imdb.com/title/tt1258972/,movie,5.4,95.0,2012,Action,63357,2012-10-25,RZA
43,44,tt0056601,2016-11-25,2016-11-25,"After the mysterious crash of a millionaire&apos;s private airplane, three scientists secretly harvest the dying man&apos;s brain and keep it alive in a laboratory in order to communicate with it through telepathy.",The Brain,https://www.imdb.com/title/tt0056601/,movie,5.2,83.0,1962,"Crime, Horror, Drama, Sci-Fi",331,1962-10-09,Freddie Francis
44,45,tt0271972,2016-11-25,2016-11-25,A scientific expedition investigating the outbreak of an unknown viral epidemic on an island in the south Pacific battles with a giant alien spider in the jungle.,Arachnid,https://www.imdb.com/title/tt0271972/,movie,3.9,95.0,2001,"Action, Adventure, Horror, Sci-Fi, Thriller",3008,2001-06-29,Jack Sholder
45,46,tt3889166,2016-11-25,2016-11-25,"A night of reunion in Paris goes horribly wrong for two friends when they recklessly decide to mess with the wrong taxi driver, finding themselves on the wrong side of a punishing manhunt.",Night Fare,https://www.imdb.com/title/tt3889166/,movie,5.5,80.0,2015,Thriller,1524,2015-07-17,Julien Seri
46,47,tt0075989,2016-11-25,2016-11-25,Con artist Marilyn Fryser tries to sell bogus real estate deals in an area overrun by giant ants.,Empire of the Ants,https://www.imdb.com/title/tt0075989/,movie,4.2,89.0,1977,"Adventure, Horror, Sci-Fi",5075,1977-07-29,Bert I. Gordon
47,48,tt1705773,2016-11-25,2016-11-25,A megalodon battles with a crocosaurus causing massive destruction. The US Army has to try and destroy the havoc creating monsters.,Mega Shark vs. Crocosaurus,https://www.imdb.com/title/tt1705773/,video,2.4,88.0,2010,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",5491,2010-11-04,Christopher Ray
48,49,tt1716753,2016-11-25,2016-11-25,Eight classic monsters fight to the death in an explosive wrestling tournament set inside an abandoned and cursed graveyard.,Monster Brawl,https://www.imdb.com/title/tt1716753/,movie,3.6,89.0,2011,"Action, Comedy, Horror, Sport",2503,2011-07-23,Jesse Thomas Cook
49,50,tt0092085,2016-11-25,2016-11-25,"Two skateboarding gangs battle each other for supremacy, and a member of one gang falls in love with the sister of his rival.",Thrashin',https://www.imdb.com/title/tt0092085/,movie,6.5,93.0,1986,"Action, Drama, Romance",4721,1986-08-29,David Winters
50,51,tt0082700,2016-11-25,2016-11-25,"Three friends set out to disprove cannibalism on a trip to the Amazonian jungle, where they meet two men trying to escape a vicious cannibal tribe.",Cannibal ferox,https://www.imdb.com/title/tt0082700/,movie,5.1,93.0,1981,"Adventure, Horror",10266,1981-04-24,Umberto Lenzi
51,52,tt0082748,2016-11-25,2016-11-25,The co-eds of a Boston college campus are targeted by a mysterious killer who is creating a human jigsaw puzzle from their body parts.,Mil gritos tiene la noche,https://www.imdb.com/title/tt0082748/,movie,6.0,85.0,1982,"Horror, Mystery, Thriller",11568,1982-08-23,Juan Piquer Simón
52,53,tt0190865,2016-11-25,2016-11-25,"A climber must rescue his sister on top of K2, one of the world&apos;s biggest mountains.",Vertical Limit,https://www.imdb.com/title/tt0190865/,movie,5.9,124.0,2000,"Action, Adventure, Drama, Thriller",62934,2000-12-03,Martin Campbell
53,54,tt3923662,2016-11-25,2016-11-25,"The ReZort, a safari park, offers paying guests the opportunity to kill as many zombies as they please following an outbreak.",The Rezort,https://www.imdb.com/title/tt3923662/,movie,5.3,91.0,2015,"Horror, Sci-Fi, Thriller",9588,2015-06-22,Steve Barker
54,55,tt0059474,2016-11-25,2016-11-25,"Three bad boy motorcyclists get kicks raping women and generally being a nuisance. When they rape a veterinarian&apos;s wife, he takes exception and pursues them, teaming up with a Cajun woman whose husband they killed. The leader of t...",Motorpsycho!,https://www.imdb.com/title/tt0059474/,movie,5.9,74.0,1965,"Action, Thriller",1557,1965-08-12,Russ Meyer
55,56,tt0071413,2016-11-25,2016-11-25,After five deranged children are involved in a bus wreck they start killing people at the lodge who insulted them or were rude to them.,Peopletoys,https://www.imdb.com/title/tt0071413/,movie,5.0,88.0,1974,Horror,1776,1974-05-31,"David Sheldon, Sean MacGregor"
56,57,tt2082408,2016-11-25,2016-11-25,A quest for riches becomes a fight for survival after treasure hunters find snow monsters on a mountain in the Arctic.,Rage of the Yeti,https://www.imdb.com/title/tt2082408/,tvMovie,2.8,86.0,2011,Horror,863,2011-11-12,David Hewlett
57,58,tt1374989,2016-11-25,2016-11-25,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,Pride and Prejudice and Zombies,https://www.imdb.com/title/tt1374989/,movie,5.8,108.0,2016,"Action, Comedy, Fantasy, Horror, Romance",57965,2016-01-21,Burr Steers
58,59,tt1663662,2016-11-25,2016-11-25,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",Pacific Rim,https://www.imdb.com/title/tt1663662/,movie,6.9,131.0,2013,"Action, Adventure, Sci-Fi",509414,2013-07-01,Guillermo del Toro
59,60,tt0076457,2016-11-25,2016-11-25,A housewife is stalked by a psycho after she sees him murder a highway patrol officer.,Night Terror,https://www.imdb.com/title/tt0076457/,tvMovie,6.0,73.0,1977,Thriller,702,1977-02-07,E.W. Swackhamer
60,61,tt1333125,2016-11-25,2016-11-25,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,Movie 43,https://www.imdb.com/title/tt1333125/,movie,4.3,94.0,2013,Comedy,107738,2013-01-01,"Rusty Cundieff, Steven Brill, Patrik Forsberg, Bob Odenkirk, Peter Farrelly, James Duffy, James Gunn, Brett Ratner, Elizabeth Banks, Jonathan van Tulleken, Steve Carr, Will Graham, Griffin Dunne"
61,62,tt1428538,2016-11-25,2016-11-25,Brother/sister duo Hansel and Gretel are professional witch-hunters who help innocent villagers. One day they stumble upon a case that could hold the key to their past.,Hansel & Gretel: Witch Hunters,https://www.imdb.com/title/tt1428538/,movie,6.1,88.0,2013,"Action, Fantasy, Horror",209904,2013-01-17,Tommy Wirkola
62,63,tt1817771,2016-11-25,2016-11-25,"In the town of Dillford, humans, vampires and zombies were all living in peace - until the alien apocalypse arrived. Now three teenagers - one human, one vampire, and one zombie - have to team up to figure out how to get rid of th...",Freaks of Nature,https://www.imdb.com/title/tt1817771/,movie,5.9,92.0,2015,"Comedy, Horror, Sci-Fi",12691,2015-10-30,Robbie Pickering
63,64,tt0120622,2016-11-25,2016-11-25,"After leaving the Wild West, Condemor and Lucas end up shipwrecked in Europe, where a group of spooky people mistake Condemor for Count Dracula and take them to their castle.",Brácula. Condemor II,https://www.imdb.com/title/tt0120622/,movie,3.3,87.0,1997,"Comedy, Horror, Musical",473,1997-08-13,Álvaro Sáenz de Heredia
64,65,tt0362969,2016-11-25,2016-11-25,A veteran policeman named Fernando feels a lot of hatred against Ángel because the boy ran him over with a car leaving him lame. Now Fernando accuses the young crook of having participated in a robbery at a gas station in which a ...,Perros callejeros II,https://www.imdb.com/title/tt0362969/,movie,5.4,100.0,1979,"Action, Drama",315,1979-10-08,José Antonio de la Loma
65,66,tt0115563,2016-11-25,2016-11-25,"French aristocrat Condemor and his assistant Lucas end up in the Wild West. A boy asks them to search for his lost father, who could reveal the path to a hidden treasure.","Aquí llega Condemor, el pecador de la pradera",https://www.imdb.com/title/tt0115563/,movie,2.7,90.0,1996,"Comedy, Musical, Western",681,1996-06-27,Álvaro Sáenz de Heredia
66,67,tt0194283,2016-11-25,2016-11-25,,Pápa Piquillo,https://www.imdb.com/title/tt0194283/,movie,4.0,92.0,1998,"Comedy, Drama",197,,Álvaro Sáenz de Heredia
67,68,tt0081823,2016-11-25,2016-11-25,"El Torete and El Vaquilla are two juvenile delinquents with numerous criminal records that coincide in the robbery of the same bank, deciding to be companions thereafter.",Los últimos golpes de 'El Torete',https://www.imdb.com/title/tt0081823/,movie,4.9,96.0,1980,"Action, Comedy, Crime, Drama, Romance",208,1980-09-25,José Antonio de la Loma
68,69,tt0087904,2016-11-25,2016-11-25,"Crista, Berta and Sole, are three young people who feel exploited and discriminated by society.",Perras callejeras,https://www.imdb.com/title/tt0087904/,movie,4.3,97.0,1985,Crime,109,1985-03-15,José Antonio de la Loma
69,70,tt0076251,2016-11-25,2016-11-25,"A rich young man, Albert, gets involved with sexually loose women and shady drug dealers.",Juventud drogada,https://www.imdb.com/title/tt0076251/,movie,5.0,,1977,,43,,José Truchado
70,71,tt0075398,2016-11-25,2016-11-25,,La viuda andaluza,https://www.imdb.com/title/tt0075398/,movie,4.3,80.0,1977,Comedy,41,1977-12-05,Francesc Betriu
71,72,tt0384833,2016-11-25,2016-11-25,A genetically-altered fish wreaks havoc on a small fishing town.,Frankenfish,https://www.imdb.com/title/tt0384833/,tvMovie,4.7,84.0,2004,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",5368,2004-10-09,Mark A.Z. Dippé
72,73,tt0077904,2016-11-25,2016-11-25,A psychic&apos;s girlfriend finds out that a lump on her back is a growing reincarnation of a 400-year-old demonic Native American spirit.,The Manitou,https://www.imdb.com/title/tt0077904/,movie,5.3,104.0,1978,"Horror, Sci-Fi",3019,1978-04-15,William Girdler
73,74,tt0113858,2016-11-25,2016-11-25,A violent massacre caused by human-sized mosquitoes forces the lone survivors to band together in a fight for survival as the mosquitoes continue their onslaught.,Mosquito,https://www.imdb.com/title/tt0113858/,movie,4.8,92.0,1994,"Horror, Sci-Fi",2697,1994-11-21,Gary Jones
74,75,tt0084887,2016-11-25,2016-11-25,Post World War III futuristic tale of collapsed governments &amp; bankrupt countries heralding a new lawless age.,Warlords of the 21st Century,https://www.imdb.com/title/tt0084887/,movie,5.0,91.0,1982,"Action, Adventure, Sci-Fi",1429,1982-01-31,Harley Cokeliss
75,76,tt0090630,2016-11-25,2016-11-25,"In a post-apocalyptic wasteland where a tribe of women rule and all men are either ferals or slaves, one men rises up to free the men. Can they coexist in peace or will they die in war?",America 3000,https://www.imdb.com/title/tt0090630/,movie,4.2,92.0,1986,"Action, Adventure, Comedy, Sci-Fi",1464,1986-04-30,David Engelbach
76,77,tt0069005,2016-11-25,2016-11-25,Giant mutant rabbits terrorize the south-west.,Night of the Lepus,https://www.imdb.com/title/tt0069005/,movie,4.1,88.0,1972,"Horror, Sci-Fi, Thriller",5116,1972-09-08,William F. Claxton
77,78,tt0109912,2016-11-25,2016-11-25,A Los Angeles police detective partners up with a talking gnome in order to bring down the head of a crime ring.,A Gnome Named Gnorm,https://www.imdb.com/title/tt0109912/,movie,4.4,84.0,1990,"Adventure, Family, Fantasy, Action, Comedy",1305,1990-07-24,Stan Winston
78,79,tt0093974,2016-11-25,2016-11-25,"The now-adult Ricky talks to a psychiatrist about how he became a murderer after his brother, Billy, died, which leads back to Mother Superior.","Silent Night, Deadly Night 2",https://www.imdb.com/title/tt0093974/,movie,3.8,88.0,1987,"Horror, Thriller",8147,1987-04-10,Lee Harry
79,80,tt0094764,2016-11-25,2016-11-25,"In a future where most of mankind and technology is wiped out, six people travel from place to place playing a brutal form of football with a dog skull. They hope one day to play in the league in a city.",The Blood of Heroes,https://www.imdb.com/title/tt0094764/,movie,6.3,90.0,1989,"Action, Sci-Fi, Sport",7232,1989-09-13,David Webb Peoples
80,81,tt0086192,2016-11-25,2016-11-25,"After ninjas killed his family, Cho and his son Kane come to America to start a new life. He opens a doll shop but is unwittingly importing heroin in the dolls. When his friend betrays him, Cho must prepare for the ultimate battle.",Revenge of the Ninja,https://www.imdb.com/title/tt0086192/,movie,6.0,90.0,1983,"Action, Crime, Drama, Thriller",5485,1983-09-07,Sam Firstenberg
81,82,tt0092548,2016-11-25,2016-11-25,"On a remote Caribbean island, Army Ranger Joe Armstrong investigates the disappearance of several marines, which leads him to The Lion, a super-criminal who has kidnapped a local scientist and mass-produced an army of mutant Ninja...",American Ninja 2: The Confrontation,https://www.imdb.com/title/tt0092548/,movie,4.9,90.0,1987,"Action, Comedy, Drama",9141,1987-05-01,Sam Firstenberg
82,83,tt0047898,2016-11-25,2016-11-25,A mad doctor attempts to create atomic supermen.,Bride of the Monster,https://www.imdb.com/title/tt0047898/,movie,4.1,69.0,1955,"Horror, Sci-Fi",7325,1955-05-11,Edward D. Wood Jr.
83,84,tt0092549,2016-11-25,2016-11-25,A martial arts rock band goes up against a band of motorcycle ninjas who have tightened their grip on Florida&apos;s narcotics trade.,Miami Connection,https://www.imdb.com/title/tt0092549/,movie,5.6,87.0,1987,"Action, Crime, Music, Thriller",6078,1987-10-26,"Woo-sang Park, Y.K. Kim"
84,85,tt0087805,2016-11-25,2016-11-25,"An evil ninja attempts to avenge his death from beyond the grave, by possessing an innocent woman&apos;s body.",Ninja III: The Domination,https://www.imdb.com/title/tt0087805/,movie,5.4,92.0,1984,"Action, Fantasy, Thriller",4941,1984-09-14,Sam Firstenberg
85,86,tt0086896,2016-11-25,2016-11-25,"Molly, a high schooler, secretly earns her living as Angel, a street prostitute whose only family and friends are the ones she works with on the streets. She has to survive against a serial killer who is targeting people of her pr...",Angel,https://www.imdb.com/title/tt0086896/,movie,5.8,94.0,1983,"Action, Crime, Thriller",4119,1983-11-02,Robert Vincent O'Neil
86,87,tt0028346,2016-11-25,2016-11-25,Cautionary tale that features a fictionalized take on marijuana use. A trio of drug dealers lead innocent teenagers to become addicted to &quot;reefer&quot; cigarettes by holding wild parties with jazz music.,Tell Your Children,https://www.imdb.com/title/tt0028346/,movie,3.7,66.0,1936,"Comedy, Crime, Drama",8873,1938-12-01,Louis J. Gasnier
87,88,tt0088708,2016-11-25,2016-11-25,"American soldier, obviously very skilled in martial arts, single-handedly takes on mercenaries in the Philippines.",American Ninja,https://www.imdb.com/title/tt0088708/,movie,5.4,95.0,1985,"Action, Adventure, Romance",15744,1985-08-30,Sam Firstenberg
88,89,tt0119013,2016-11-25,2016-11-25,An international spy teams up with an arms dealer to escape from a penal colony and rescue his family from a terrorist.,Double Team,https://www.imdb.com/title/tt0119013/,movie,4.8,93.0,1997,"Action, Comedy, Sci-Fi, Thriller",35268,1997-01-31,Hark Tsui
89,90,tt0099385,2016-11-25,2016-11-25,"In a violent and corrupt prison, decorated cop Louis Burke must infiltrate the jail to find answers to a number of inside murders. What he finds is a struggle of life and death tied in to his own past.",Death Warrant,https://www.imdb.com/title/tt0099385/,movie,5.7,89.0,1990,"Action, Crime, Mystery, Thriller",19568,1990-09-14,Deran Sarafian
